# Time-averaged data for fix myat1
# TimeStep v_nH
1000 77
2000 77
3000 77
4000 77
5000 77
6000 77
7000 77
8000 77
9000 77
10000 77
11000 77
12000 77
13000 77
14000 77
15000 77
16000 77
17000 77
18000 77
19000 77
20000 77
21000 77
22000 77
23000 77
24000 77
25000 77
26000 77
27000 77
28000 77
29000 77
30000 77
31000 77
32000 77
33000 77
34000 77
35000 77
36000 77
37000 77
38000 77
39000 77
40000 77
41000 77
42000 77
43000 77
44000 77
45000 77
46000 77
47000 77
48000 77
49000 77
50000 77
51000 77
52000 77
53000 77
54000 77
55000 77
56000 77
57000 77
58000 77
59000 77
60000 77
61000 77
62000 77
63000 77
64000 77
65000 77
66000 77
67000 77
68000 77
69000 77
70000 77
71000 77
72000 77
73000 77
74000 77
75000 77
76000 77
77000 77
78000 77
79000 77
80000 77
81000 77
82000 77
83000 77
84000 77
85000 77
86000 77
87000 77
88000 77
89000 77
90000 77
91000 77
92000 77
93000 77
94000 77
95000 77
96000 77
97000 77
98000 77
99000 77
100000 77
101000 194.3
102000 291.3
103000 329.1
104000 330.4
105000 323.9
106000 315.1
107000 349.2
108000 353.6
109000 326.4
110000 335.4
111000 326.7
112000 317.6
113000 349
114000 343.1
115000 345.7
116000 354.6
117000 353.5
118000 355
119000 348.1
120000 332.4
121000 361.3
122000 334.5
123000 318.4
124000 346.3
125000 365.6
126000 348.1
127000 356.9
128000 354.9
129000 334.4
130000 350.2
131000 356.2
132000 355.5
133000 353.5
134000 341.6
135000 321.4
136000 339.7
137000 344.1
138000 333
139000 327.8
140000 325.3
141000 340.3
142000 369.8
143000 350.6
144000 359.7
145000 340.2
146000 327.7
147000 330.1
148000 332.5
149000 332.4
150000 335.1
