# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2131000 7.60758 6
2132000 6.77216 6
2133000 5.59248 6
2134000 4.63855 6
2135000 4.37751 6
2136000 4.93094 6
2137000 6.01935 6
2138000 7.11511 6
2139000 7.70342 6
2140000 7.5126 6
2141000 6.61645 6
2142000 5.42834 6
2143000 4.53302 6
2144000 4.37741 6
2145000 5.03588 6
2146000 6.17754 6
2147000 7.24592 6
2148000 7.73912 6
2149000 7.4347 6
2150000 6.47422 6
2151000 5.30578 6
2152000 4.48248 6
2153000 4.406 6
2154000 5.13132 6
2155000 6.29653 6
2156000 7.32542 6
2157000 7.73517 6
2158000 7.35205 6
2159000 6.36112 6
2160000 5.22958 6
2161000 4.49871 6
2162000 4.52392 6
2163000 5.30317 6
2164000 6.46505 6
2165000 7.44313 6
2166000 7.76766 6
2167000 7.28752 6
2168000 6.22989 6
2169000 5.09783 6
2170000 4.43635 6
2171000 4.56457 6
2172000 5.41637 6
2173000 6.57193 6
2174000 7.47225 6
2175000 7.69732 6
2176000 7.15185 6
2177000 6.09384 6
2178000 5.02159 6
2179000 4.44716 6
2180000 4.6539 6
