# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2191000 11.6124 6.6
2192000 11.4799 6.6
2193000 11.555 6.6
2194000 11.6453 6.6
2195000 11.3321 6.6
2196000 11.6587 6.6
2197000 11.5442 6.6
2198000 11.7037 6.6
2199000 11.6999 6.6
2200000 11.4632 6.6
2201000 11.5886 6.6
2202000 11.6272 6.6
2203000 11.4826 6.6
2204000 11.7799 6.6
2205000 11.6276 6.6
2206000 11.7394 6.6
2207000 11.7046 6.6
2208000 11.6543 6.6
2209000 11.5065 6.6
2210000 11.7443 6.6
2211000 11.7003 6.6
2212000 11.6923 6.6
2213000 11.7563 6.6
2214000 11.5744 6.6
2215000 11.5855 6.6
2216000 11.6809 6.6
2217000 11.6502 6.6
2218000 11.5498 6.6
2219000 11.7768 6.6
2220000 11.2744 6.6
2221000 11.8003 6.6
2222000 11.6638 6.6
2223000 11.7184 6.6
2224000 11.6647 6.6
2225000 11.615 6.6
2226000 11.545 6.6
2227000 11.6536 6.6
2228000 11.6964 6.6
2229000 11.6733 6.6
2230000 11.8026 6.6
2231000 11.8293 6.6
2232000 11.8557 6.6
2233000 11.7098 6.6
2234000 11.436 6.6
2235000 11.6004 6.6
2236000 11.6188 6.6
2237000 11.4901 6.6
2238000 11.8598 6.6
2239000 11.6351 6.6
2240000 11.4985 6.6
