# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
3031000 12.0849 15
3032000 12.0941 15
3033000 12.0349 15
3034000 12.0172 15
3035000 11.9666 15
3036000 12.0483 15
3037000 12.1917 15
3038000 12.2695 15
3039000 12.2579 15
3040000 12.0786 15
3041000 11.9799 15
3042000 12.1016 15
3043000 12.1966 15
3044000 12.1873 15
3045000 12.1859 15
3046000 12.2274 15
3047000 12.2651 15
3048000 12.1299 15
3049000 12.1444 15
3050000 12.1234 15
3051000 12.1748 15
3052000 12.1666 15
3053000 12.0221 15
3054000 12.0876 15
3055000 12.178 15
3056000 12.2297 15
3057000 12.168 15
3058000 12.1853 15
3059000 12.049 15
3060000 11.9789 15
3061000 11.9041 15
3062000 11.9127 15
3063000 12.0742 15
3064000 12.1037 15
3065000 12.1457 15
3066000 12.1315 15
3067000 12.0852 15
3068000 12.1085 15
3069000 12.1359 15
3070000 12.0575 15
3071000 11.9494 15
3072000 11.9159 15
3073000 11.9568 15
3074000 12.0788 15
3075000 12.2044 15
3076000 12.1796 15
3077000 12.1907 15
3078000 12.1548 15
3079000 12.0748 15
3080000 12.0691 15
