# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2791000 11.981 12.6
2792000 11.9189 12.6
2793000 12.117 12.6
2794000 12.189 12.6
2795000 11.9672 12.6
2796000 11.8971 12.6
2797000 11.9415 12.6
2798000 11.8946 12.6
2799000 11.9512 12.6
2800000 11.936 12.6
2801000 11.9247 12.6
2802000 11.9033 12.6
2803000 11.9127 12.6
2804000 11.9945 12.6
2805000 12.144 12.6
2806000 12.0003 12.6
2807000 11.9785 12.6
2808000 11.9426 12.6
2809000 11.837 12.6
2810000 11.8453 12.6
2811000 11.9807 12.6
2812000 11.9867 12.6
2813000 11.9967 12.6
2814000 12.1046 12.6
2815000 12.0068 12.6
2816000 12.0336 12.6
2817000 11.9165 12.6
2818000 11.9007 12.6
2819000 12.004 12.6
2820000 11.9091 12.6
2821000 11.8521 12.6
2822000 11.9179 12.6
2823000 11.9413 12.6
2824000 12.0114 12.6
2825000 12.0753 12.6
2826000 11.9792 12.6
2827000 12.029 12.6
2828000 12.0191 12.6
2829000 11.9609 12.6
2830000 11.9758 12.6
2831000 11.9691 12.6
2832000 11.9536 12.6
2833000 11.9106 12.6
2834000 11.8343 12.6
2835000 11.9484 12.6
2836000 12.0095 12.6
2837000 12.1055 12.6
2838000 12.0481 12.6
2839000 12.0174 12.6
2840000 11.9087 12.6
