# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
811000 -11.6867 -7.2
812000 -11.6384 -7.2
813000 -11.8055 -7.2
814000 -11.8358 -7.2
815000 -11.8959 -7.2
816000 -11.996 -7.2
817000 -11.958 -7.2
818000 -11.7811 -7.2
819000 -11.7136 -7.2
820000 -11.6665 -7.2
821000 -11.611 -7.2
822000 -11.6236 -7.2
823000 -11.9015 -7.2
824000 -11.8783 -7.2
825000 -11.8414 -7.2
826000 -11.8899 -7.2
827000 -11.8362 -7.2
828000 -11.7621 -7.2
829000 -11.6297 -7.2
830000 -11.6988 -7.2
831000 -11.6322 -7.2
832000 -11.7616 -7.2
833000 -11.8577 -7.2
834000 -11.7904 -7.2
835000 -11.8662 -7.2
836000 -12.007 -7.2
837000 -11.8095 -7.2
838000 -11.6429 -7.2
839000 -11.5456 -7.2
840000 -11.6547 -7.2
841000 -11.6013 -7.2
842000 -11.8071 -7.2
843000 -11.8448 -7.2
844000 -11.868 -7.2
845000 -11.9707 -7.2
846000 -11.9674 -7.2
847000 -11.8385 -7.2
848000 -11.7477 -7.2
849000 -11.664 -7.2
850000 -11.5356 -7.2
851000 -11.2605 -7.2
852000 -11.6455 -7.2
853000 -11.7364 -7.2
854000 -11.9177 -7.2
855000 -11.8797 -7.2
856000 -11.6553 -7.2
857000 -11.7326 -7.2
858000 -11.5257 -7.2
859000 -11.7383 -7.2
860000 -11.5795 -7.2
