# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
1351000 -4.17231 -1.8
1352000 -4.8386 -1.8
1353000 -3.34215 -1.8
1354000 -0.7779 -1.8
1355000 1.00377 -1.8
1356000 0.735741 -1.8
1357000 -1.38407 -1.8
1358000 -3.84298 -1.8
1359000 -4.88545 -1.8
1360000 -3.73263 -1.8
1361000 -1.19334 -1.8
1362000 0.883681 -1.8
1363000 0.996143 -1.8
1364000 -0.912316 -1.8
1365000 -3.44243 -1.8
1366000 -4.77674 -1.8
1367000 -3.97752 -1.8
1368000 -1.61344 -1.8
1369000 0.627889 -1.8
1370000 1.12483 -1.8
1371000 -0.519849 -1.8
1372000 -3.12651 -1.8
1373000 -4.78576 -1.8
1374000 -4.30974 -1.8
1375000 -2.06481 -1.8
1376000 0.323768 -1.8
1377000 1.14822 -1.8
1378000 -0.173005 -1.8
1379000 -2.6817 -1.8
1380000 -4.56522 -1.8
1381000 -4.47133 -1.8
1382000 -2.46731 -1.8
1383000 0.0184129 -1.8
1384000 1.19096 -1.8
1385000 0.187656 -1.8
1386000 -2.27695 -1.8
1387000 -4.41378 -1.8
1388000 -4.68001 -1.8
1389000 -2.90059 -1.8
1390000 -0.380166 -1.8
1391000 1.06225 -1.8
1392000 0.412412 -1.8
1393000 -1.85672 -1.8
1394000 -4.11775 -1.8
1395000 -4.74467 -1.8
1396000 -3.26589 -1.8
1397000 -0.731682 -1.8
1398000 1.01625 -1.8
1399000 0.711847 -1.8
1400000 -1.41475 -1.8
