# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
1171000 -4.81896 -3.6
1172000 -3.95771 -3.6
1173000 -2.80018 -3.6
1174000 -2.43866 -3.6
1175000 -3.19462 -3.6
1176000 -4.34741 -3.6
1177000 -4.82166 -3.6
1178000 -4.17704 -3.6
1179000 -3.00971 -3.6
1180000 -2.41029 -3.6
1181000 -2.95559 -3.6
1182000 -4.14439 -3.6
1183000 -4.85547 -3.6
1184000 -4.42116 -3.6
1185000 -3.2522 -3.6
1186000 -2.44496 -3.6
1187000 -2.75316 -3.6
1188000 -3.87974 -3.6
1189000 -4.76252 -3.6
1190000 -4.57971 -3.6
1191000 -3.5088 -3.6
1192000 -2.55525 -3.6
1193000 -2.61364 -3.6
1194000 -3.6267 -3.6
1195000 -4.64679 -3.6
1196000 -4.72011 -3.6
1197000 -3.76423 -3.6
1198000 -2.66585 -3.6
1199000 -2.46571 -3.6
1200000 -3.35707 -3.6
1201000 -4.49305 -3.6
1202000 -4.80516 -3.6
1203000 -4.01964 -3.6
1204000 -2.87716 -3.6
1205000 -2.44266 -3.6
1206000 -3.12605 -3.6
1207000 -4.293 -3.6
1208000 -4.85193 -3.6
1209000 -4.26899 -3.6
1210000 -3.07963 -3.6
1211000 -2.40165 -3.6
1212000 -2.87685 -3.6
1213000 -4.05825 -3.6
1214000 -4.83579 -3.6
1215000 -4.4847 -3.6
1216000 -3.33519 -3.6
1217000 -2.46392 -3.6
1218000 -2.68924 -3.6
1219000 -3.79769 -3.6
1220000 -4.74626 -3.6
