# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2251000 11.7673 7.2
2252000 11.7466 7.2
2253000 11.7784 7.2
2254000 11.7367 7.2
2255000 11.7992 7.2
2256000 11.8757 7.2
2257000 11.7225 7.2
2258000 11.8141 7.2
2259000 11.8323 7.2
2260000 11.6548 7.2
2261000 11.6904 7.2
2262000 11.6371 7.2
2263000 11.624 7.2
2264000 11.7198 7.2
2265000 11.9287 7.2
2266000 11.8299 7.2
2267000 11.8156 7.2
2268000 11.7639 7.2
2269000 11.7674 7.2
2270000 11.7487 7.2
2271000 11.8192 7.2
2272000 11.8066 7.2
2273000 11.6969 7.2
2274000 11.5828 7.2
2275000 11.7308 7.2
2276000 11.8605 7.2
2277000 11.903 7.2
2278000 11.8857 7.2
2279000 11.8426 7.2
2280000 11.7571 7.2
2281000 11.6448 7.2
2282000 11.6828 7.2
2283000 11.6777 7.2
2284000 11.7245 7.2
2285000 11.7247 7.2
2286000 11.7618 7.2
2287000 11.7544 7.2
2288000 11.7057 7.2
2289000 11.7759 7.2
2290000 11.7823 7.2
2291000 11.7838 7.2
2292000 11.8111 7.2
2293000 11.8043 7.2
2294000 11.6848 7.2
2295000 11.6951 7.2
2296000 11.7093 7.2
2297000 11.6983 7.2
2298000 11.7791 7.2
2299000 11.7628 7.2
2300000 11.8672 7.2
