# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2731000 12.0225 12
2732000 11.8836 12
2733000 11.9071 12
2734000 11.8187 12
2735000 11.8341 12
2736000 11.8638 12
2737000 12.0167 12
2738000 12.0435 12
2739000 12.0988 12
2740000 11.9492 12
2741000 11.948 12
2742000 11.8708 12
2743000 11.6707 12
2744000 11.6666 12
2745000 11.7309 12
2746000 11.7982 12
2747000 11.8003 12
2748000 11.8845 12
2749000 11.9465 12
2750000 11.9373 12
2751000 11.9083 12
2752000 11.9298 12
2753000 11.9756 12
2754000 11.8808 12
2755000 11.8727 12
2756000 11.9331 12
2757000 11.8155 12
2758000 11.9432 12
2759000 11.9011 12
2760000 11.9656 12
2761000 12.0088 12
2762000 11.9928 12
2763000 11.9548 12
2764000 12.0476 12
2765000 11.8399 12
2766000 11.8884 12
2767000 11.8947 12
2768000 11.8565 12
2769000 11.958 12
2770000 11.9574 12
2771000 11.9725 12
2772000 11.9439 12
2773000 11.8628 12
2774000 11.8939 12
2775000 11.9277 12
2776000 11.9335 12
2777000 11.9028 12
2778000 11.8995 12
2779000 11.8116 12
2780000 11.9031 12
