# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
4471000 10.1379 7.2
4472000 9.43198 7.2
4473000 8.40717 7.2
4474000 7.17455 7.2
4475000 5.98727 7.2
4476000 5.13726 7.2
4477000 4.83713 7.2
4478000 5.14833 7.2
4479000 5.98702 7.2
4480000 7.15193 7.2
4481000 8.37931 7.2
4482000 9.42902 7.2
4483000 10.1744 7.2
4484000 10.6532 7.2
4485000 11.0182 7.2
4486000 11.3975 7.2
4487000 11.6762 7.2
4488000 11.6095 7.2
4489000 11.3512 7.2
4490000 11.172 7.2
4491000 11.0818 7.2
4492000 11.0692 7.2
4493000 11.1267 7.2
4494000 11.2616 7.2
4495000 11.4845 7.2
4496000 11.6006 7.2
4497000 11.2573 7.2
4498000 10.8577 7.2
4499000 10.3672 7.2
4500000 9.605 7.2
4501000 8.52025 7.2
4502000 7.23613 7.2
4503000 6.01701 7.2
4504000 5.14192 7.2
4505000 4.80982 7.2
4506000 5.09685 7.2
4507000 5.93594 7.2
4508000 7.12816 7.2
4509000 8.39619 7.2
4510000 9.48261 7.2
4511000 10.2544 7.2
4512000 10.7518 7.2
4513000 11.1407 7.2
4514000 11.5501 7.2
4515000 11.5892 7.2
4516000 11.2021 7.2
4517000 10.7846 7.2
4518000 10.2338 7.2
4519000 9.39763 7.2
4520000 8.26632 7.2
