# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
31000 -9.59599 -15
32000 -11.2372 -15
33000 -11.1439 -15
34000 -10.3169 -15
35000 -11.968 -15
36000 -11.02 -15
37000 -11.954 -15
38000 -11.5348 -15
39000 -12.1468 -15
40000 -10.8684 -15
41000 -11.9124 -15
42000 -11.6647 -15
43000 -11.9482 -15
44000 -11.8221 -15
45000 -11.6901 -15
46000 -11.8455 -15
47000 -11.8033 -15
48000 -12.2055 -15
49000 -11.738 -15
50000 -12.0394 -15
51000 -11.7089 -15
52000 -12.0256 -15
53000 -12.2773 -15
54000 -12.2946 -15
55000 -12.3741 -15
56000 -12.294 -15
57000 -12.0951 -15
58000 -12.1418 -15
59000 -12.3198 -15
60000 -12.2869 -15
61000 -12.1414 -15
62000 -12.1116 -15
63000 -12.3423 -15
64000 -12.325 -15
65000 -12.0752 -15
66000 -11.9216 -15
67000 -11.9579 -15
68000 -12.2156 -15
69000 -12.4113 -15
70000 -12.2645 -15
71000 -12.2337 -15
72000 -12.3872 -15
73000 -12.2772 -15
74000 -12.0551 -15
75000 -11.8849 -15
76000 -12.0835 -15
77000 -12.1145 -15
78000 -12.3037 -15
79000 -12.2947 -15
80000 -12.283 -15
