# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2851000 12.2163 13.2
2852000 12.0223 13.2
2853000 12.177 13.2
2854000 12.2836 13.2
2855000 12.3071 13.2
2856000 12.2379 13.2
2857000 12.2502 13.2
2858000 12.0038 13.2
2859000 12.1445 13.2
2860000 12.2941 13.2
2861000 12.2515 13.2
2862000 12.3341 13.2
2863000 12.2262 13.2
2864000 12.2415 13.2
2865000 12.3047 13.2
2866000 12.263 13.2
2867000 12.2605 13.2
2868000 12.301 13.2
2869000 12.274 13.2
2870000 12.141 13.2
2871000 12.1993 13.2
2872000 12.2241 13.2
2873000 12.2295 13.2
2874000 12.3913 13.2
2875000 12.2939 13.2
2876000 12.31 13.2
2877000 12.2396 13.2
2878000 12.0742 13.2
2879000 12.1574 13.2
2880000 12.2346 13.2
2881000 12.2501 13.2
2882000 12.2667 13.2
2883000 12.293 13.2
2884000 12.3394 13.2
2885000 12.3676 13.2
2886000 12.1524 13.2
2887000 12.2087 13.2
2888000 12.2163 13.2
2889000 12.1525 13.2
2890000 12.2756 13.2
2891000 12.3954 13.2
2892000 12.2545 13.2
2893000 12.3504 13.2
2894000 12.1916 13.2
2895000 12.1596 13.2
2896000 12.085 13.2
2897000 12.275 13.2
2898000 12.1765 13.2
2899000 12.0846 13.2
2900000 12.1359 13.2
