# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
5251000 10.9337 11.1
5252000 11.4119 11.1
5253000 11.8253 11.1
5254000 11.1784 11.1
5255000 11.4593 11.1
5256000 11.673 11.1
5257000 11.2463 11.1
5258000 11.6923 11.1
5259000 11.4585 11.1
5260000 11.2495 11.1
5261000 11.8635 11.1
5262000 11.5234 11.1
5263000 11.5968 11.1
5264000 11.5827 11.1
5265000 10.8511 11.1
5266000 11.0033 11.1
5267000 11.879 11.1
5268000 11.1768 11.1
5269000 10.5232 11.1
5270000 10.7327 11.1
5271000 11.6787 11.1
5272000 11.461 11.1
5273000 11.4846 11.1
5274000 11.8969 11.1
5275000 11.1734 11.1
5276000 11.2591 11.1
5277000 11.9802 11.1
5278000 11.2699 11.1
5279000 11.0068 11.1
5280000 11.6513 11.1
5281000 11.4808 11.1
5282000 11.4141 11.1
5283000 11.9511 11.1
5284000 11.2236 11.1
5285000 10.8494 11.1
5286000 11.449 11.1
5287000 11.6166 11.1
5288000 10.748 11.1
5289000 10.7197 11.1
5290000 11.5791 11.1
5291000 11.6518 11.1
5292000 10.5633 11.1
5293000 10.309 11.1
5294000 10.8462 11.1
5295000 11.8912 11.1
5296000 11.2081 11.1
5297000 10.8383 11.1
5298000 11.4213 11.1
5299000 11.6999 11.1
5300000 11.1604 11.1
