# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
751000 -11.7231 -7.8
752000 -11.6758 -7.8
753000 -11.7699 -7.8
754000 -11.7799 -7.8
755000 -11.8387 -7.8
756000 -12.009 -7.8
757000 -11.9573 -7.8
758000 -11.9365 -7.8
759000 -11.8423 -7.8
760000 -11.7306 -7.8
761000 -11.7277 -7.8
762000 -11.5872 -7.8
763000 -11.6489 -7.8
764000 -11.8312 -7.8
765000 -11.8792 -7.8
766000 -11.9617 -7.8
767000 -11.8933 -7.8
768000 -11.8536 -7.8
769000 -11.8782 -7.8
770000 -11.8621 -7.8
771000 -11.7875 -7.8
772000 -11.7319 -7.8
773000 -11.7781 -7.8
774000 -11.7441 -7.8
775000 -11.7091 -7.8
776000 -11.6735 -7.8
777000 -12.0068 -7.8
778000 -11.8858 -7.8
779000 -11.8341 -7.8
780000 -11.8677 -7.8
781000 -11.8926 -7.8
782000 -11.7386 -7.8
783000 -11.67 -7.8
784000 -11.7474 -7.8
785000 -11.8119 -7.8
786000 -11.7873 -7.8
787000 -11.7787 -7.8
788000 -11.9206 -7.8
789000 -11.9825 -7.8
790000 -11.8954 -7.8
791000 -11.7861 -7.8
792000 -11.7023 -7.8
793000 -11.9006 -7.8
794000 -11.7498 -7.8
795000 -11.746 -7.8
796000 -11.874 -7.8
797000 -11.8392 -7.8
798000 -11.7812 -7.8
799000 -11.6422 -7.8
800000 -11.6704 -7.8
