# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2911000 12.0701 13.8
2912000 11.9843 13.8
2913000 11.9908 13.8
2914000 11.8614 13.8
2915000 11.9813 13.8
2916000 11.9683 13.8
2917000 12.0961 13.8
2918000 11.9731 13.8
2919000 12.036 13.8
2920000 11.9223 13.8
2921000 11.9951 13.8
2922000 11.9193 13.8
2923000 11.9643 13.8
2924000 11.9578 13.8
2925000 12.0484 13.8
2926000 12.1042 13.8
2927000 11.9864 13.8
2928000 11.8441 13.8
2929000 11.8125 13.8
2930000 11.9693 13.8
2931000 12.076 13.8
2932000 12.1015 13.8
2933000 12.1009 13.8
2934000 11.9857 13.8
2935000 11.9923 13.8
2936000 11.8771 13.8
2937000 11.8418 13.8
2938000 11.995 13.8
2939000 11.9297 13.8
2940000 12.0475 13.8
2941000 12.1213 13.8
2942000 12.1047 13.8
2943000 12.1204 13.8
2944000 11.9968 13.8
2945000 11.9444 13.8
2946000 11.9053 13.8
2947000 11.9979 13.8
2948000 12.0221 13.8
2949000 11.9922 13.8
2950000 11.9944 13.8
2951000 11.9958 13.8
2952000 12.0081 13.8
2953000 11.9976 13.8
2954000 12.0016 13.8
2955000 12.0163 13.8
2956000 12.0004 13.8
2957000 12.0651 13.8
2958000 12.0248 13.8
2959000 11.9029 13.8
2960000 11.8958 13.8
