# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
1471000 4.03838 -0.6
1472000 4.17935 -0.6
1473000 0.461464 -0.6
1474000 -4.05851 -0.6
1475000 -5.72973 -0.6
1476000 -3.25962 -0.6
1477000 1.37592 -0.6
1478000 4.41936 -0.6
1479000 3.38786 -0.6
1480000 -0.921614 -0.6
1481000 -5.01789 -0.6
1482000 -5.56012 -0.6
1483000 -2.10716 -0.6
1484000 2.54795 -0.6
1485000 4.62 -0.6
1486000 2.45097 -0.6
1487000 -2.19185 -0.6
1488000 -5.52899 -0.6
1489000 -4.88105 -0.6
1490000 -0.767249 -0.6
1491000 3.50678 -0.6
1492000 4.46723 -0.6
1493000 1.29055 -0.6
1494000 -3.48053 -0.6
1495000 -5.94318 -0.6
1496000 -4.11887 -0.6
1497000 0.475292 -0.6
1498000 4.07522 -0.6
1499000 3.83272 -0.6
1500000 -0.0272743 -0.6
1501000 -4.38185 -0.6
1502000 -5.70165 -0.6
1503000 -2.89193 -0.6
1504000 1.82438 -0.6
1505000 4.58948 -0.6
1506000 3.14321 -0.6
1507000 -1.33069 -0.6
1508000 -5.15027 -0.6
1509000 -5.237 -0.6
1510000 -1.59122 -0.6
1511000 2.85516 -0.6
1512000 4.50512 -0.6
1513000 1.99499 -0.6
1514000 -2.68836 -0.6
1515000 -5.72495 -0.6
1516000 -4.64078 -0.6
1517000 -0.279637 -0.6
1518000 3.81855 -0.6
1519000 4.30942 -0.6
1520000 0.853827 -0.6
