# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
991000 -11.5057 -10.2
992000 -11.8247 -10.2
993000 -11.2728 -10.2
994000 -11.227 -10.2
995000 -11.8517 -10.2
996000 -11.4976 -10.2
997000 -10.9639 -10.2
998000 -11.1848 -10.2
999000 -11.8743 -10.2
1000000 -11.4123 -10.2
1001000 -11.1903 -10.2
1002000 -11.6964 -10.2
1003000 -11.8439 -10.2
1004000 -11.5806 -10.2
1005000 -11.7242 -10.2
1006000 -11.6245 -10.2
1007000 -11.6697 -10.2
1008000 -11.8648 -10.2
1009000 -11.7735 -10.2
1010000 -11.8361 -10.2
1011000 -11.4571 -10.2
1012000 -11.2681 -10.2
1013000 -11.6746 -10.2
1014000 -11.8575 -10.2
1015000 -11.4259 -10.2
1016000 -11.6507 -10.2
1017000 -11.695 -10.2
1018000 -11.5539 -10.2
1019000 -11.8364 -10.2
1020000 -11.6872 -10.2
1021000 -11.502 -10.2
1022000 -11.8418 -10.2
1023000 -11.6201 -10.2
1024000 -11.5084 -10.2
1025000 -11.6836 -10.2
1026000 -11.7797 -10.2
1027000 -11.7834 -10.2
1028000 -11.6556 -10.2
1029000 -11.7552 -10.2
1030000 -11.6475 -10.2
1031000 -11.2911 -10.2
1032000 -11.6352 -10.2
1033000 -11.6524 -10.2
1034000 -11.7646 -10.2
1035000 -11.8209 -10.2
1036000 -11.6211 -10.2
1037000 -11.7946 -10.2
1038000 -11.9505 -10.2
1039000 -11.8996 -10.2
1040000 -11.8461 -10.2
