# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2491000 12.0104 9.6
2492000 11.9359 9.6
2493000 11.8654 9.6
2494000 11.9128 9.6
2495000 12.0188 9.6
2496000 12.0084 9.6
2497000 11.9245 9.6
2498000 11.7043 9.6
2499000 11.7069 9.6
2500000 11.708 9.6
2501000 11.8347 9.6
2502000 11.9554 9.6
2503000 12.0148 9.6
2504000 12.003 9.6
2505000 11.9227 9.6
2506000 11.8853 9.6
2507000 11.7558 9.6
2508000 11.7803 9.6
2509000 11.8395 9.6
2510000 11.9297 9.6
2511000 11.901 9.6
2512000 11.999 9.6
2513000 11.9166 9.6
2514000 11.9555 9.6
2515000 11.9839 9.6
2516000 11.9706 9.6
2517000 11.9501 9.6
2518000 11.8399 9.6
2519000 11.8609 9.6
2520000 11.9407 9.6
2521000 11.9386 9.6
2522000 11.878 9.6
2523000 11.8977 9.6
2524000 12.009 9.6
2525000 12.0541 9.6
2526000 11.9468 9.6
2527000 11.9549 9.6
2528000 11.8797 9.6
2529000 11.9156 9.6
2530000 12.0077 9.6
2531000 11.8036 9.6
2532000 11.8598 9.6
2533000 11.9357 9.6
2534000 12.0573 9.6
2535000 11.9174 9.6
2536000 11.8327 9.6
2537000 11.7706 9.6
2538000 11.8934 9.6
2539000 12.0107 9.6
2540000 11.9995 9.6
