# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
631000 -11.8053 -9
632000 -12.1073 -9
633000 -11.813 -9
634000 -11.4553 -9
635000 -11.9767 -9
636000 -11.5146 -9
637000 -11.1973 -9
638000 -11.5764 -9
639000 -12.0289 -9
640000 -11.4503 -9
641000 -11.7051 -9
642000 -12.071 -9
643000 -11.554 -9
644000 -11.8943 -9
645000 -11.9537 -9
646000 -11.8919 -9
647000 -11.9343 -9
648000 -11.6769 -9
649000 -11.9713 -9
650000 -11.7068 -9
651000 -12.0352 -9
652000 -12.0009 -9
653000 -12.0865 -9
654000 -11.9058 -9
655000 -12.0926 -9
656000 -11.887 -9
657000 -11.8861 -9
658000 -11.8033 -9
659000 -11.85 -9
660000 -12.0787 -9
661000 -12.0224 -9
662000 -11.9711 -9
663000 -11.953 -9
664000 -11.9536 -9
665000 -11.8736 -9
666000 -11.667 -9
667000 -11.8246 -9
668000 -11.9516 -9
669000 -11.7957 -9
670000 -12.1258 -9
671000 -11.7679 -9
672000 -12.1014 -9
673000 -11.8001 -9
674000 -11.8103 -9
675000 -11.9103 -9
676000 -11.3776 -9
677000 -11.7921 -9
678000 -11.971 -9
679000 -11.478 -9
680000 -11.9219 -9
