# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
1111000 -2.63934 -4.2
1112000 -3.10067 -4.2
1113000 -4.63465 -4.2
1114000 -5.80666 -4.2
1115000 -5.5306 -4.2
1116000 -4.05659 -4.2
1117000 -2.75257 -4.2
1118000 -2.84309 -4.2
1119000 -4.23368 -4.2
1120000 -5.61088 -4.2
1121000 -5.7067 -4.2
1122000 -4.44753 -4.2
1123000 -2.99548 -4.2
1124000 -2.70264 -4.2
1125000 -3.86455 -4.2
1126000 -5.40432 -4.2
1127000 -5.8737 -4.2
1128000 -4.83503 -4.2
1129000 -3.25375 -4.2
1130000 -2.60935 -4.2
1131000 -3.49322 -4.2
1132000 -5.06207 -4.2
1133000 -5.85537 -4.2
1134000 -5.14808 -4.2
1135000 -3.58827 -4.2
1136000 -2.62983 -4.2
1137000 -3.18022 -4.2
1138000 -4.72651 -4.2
1139000 -5.82677 -4.2
1140000 -5.46224 -4.2
1141000 -3.96341 -4.2
1142000 -2.72128 -4.2
1143000 -2.90261 -4.2
1144000 -4.3375 -4.2
1145000 -5.67826 -4.2
1146000 -5.68192 -4.2
1147000 -4.35525 -4.2
1148000 -2.93887 -4.2
1149000 -2.75306 -4.2
1150000 -3.95964 -4.2
1151000 -5.42803 -4.2
1152000 -5.79981 -4.2
1153000 -4.71602 -4.2
1154000 -3.15994 -4.2
1155000 -2.60186 -4.2
1156000 -3.57703 -4.2
1157000 -5.16255 -4.2
1158000 -5.87823 -4.2
1159000 -5.0794 -4.2
1160000 -3.51651 -4.2
