# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
1051000 -2.98997 -4.8
1052000 -3.01573 -4.8
1053000 -3.9442 -4.8
1054000 -5.32043 -4.8
1055000 -6.46366 -4.8
1056000 -6.81604 -4.8
1057000 -6.20927 -4.8
1058000 -4.94119 -4.8
1059000 -3.63897 -4.8
1060000 -2.93851 -4.8
1061000 -3.17314 -4.8
1062000 -4.22163 -4.8
1063000 -5.57574 -4.8
1064000 -6.5928 -4.8
1065000 -6.77522 -4.8
1066000 -6.0149 -4.8
1067000 -4.67726 -4.8
1068000 -3.42366 -4.8
1069000 -2.87252 -4.8
1070000 -3.28622 -4.8
1071000 -4.44979 -4.8
1072000 -5.78873 -4.8
1073000 -6.65816 -4.8
1074000 -6.64087 -4.8
1075000 -5.73052 -4.8
1076000 -4.34949 -4.8
1077000 -3.18617 -4.8
1078000 -2.82932 -4.8
1079000 -3.45474 -4.8
1080000 -4.74066 -4.8
1081000 -6.04601 -4.8
1082000 -6.74804 -4.8
1083000 -6.51756 -4.8
1084000 -5.46279 -4.8
1085000 -4.09499 -4.8
1086000 -3.08385 -4.8
1087000 -2.92788 -4.8
1088000 -3.71223 -4.8
1089000 -5.06747 -4.8
1090000 -6.34085 -4.8
1091000 -6.90154 -4.8
1092000 -6.46587 -4.8
1093000 -5.2515 -4.8
1094000 -3.85795 -4.8
1095000 -2.95611 -4.8
1096000 -2.97997 -4.8
1097000 -3.90926 -4.8
1098000 -5.27875 -4.8
1099000 -6.41822 -4.8
1100000 -6.78302 -4.8
