# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
511000 -12.0765 -10.2
512000 -12.0509 -10.2
513000 -12.0383 -10.2
514000 -12.0046 -10.2
515000 -12.0267 -10.2
516000 -12.1044 -10.2
517000 -12.2211 -10.2
518000 -12.0621 -10.2
519000 -11.9938 -10.2
520000 -12.0634 -10.2
521000 -12.0763 -10.2
522000 -11.9849 -10.2
523000 -11.9935 -10.2
524000 -12.0363 -10.2
525000 -12.0501 -10.2
526000 -12.1039 -10.2
527000 -12.0867 -10.2
528000 -12.0385 -10.2
529000 -11.9491 -10.2
530000 -12.026 -10.2
531000 -12.1557 -10.2
532000 -12.0849 -10.2
533000 -12.0628 -10.2
534000 -12.0855 -10.2
535000 -11.9957 -10.2
536000 -12.0422 -10.2
537000 -12.0133 -10.2
538000 -11.9152 -10.2
539000 -12.0411 -10.2
540000 -11.9522 -10.2
541000 -11.9913 -10.2
542000 -12.0456 -10.2
543000 -11.9062 -10.2
544000 -11.9638 -10.2
545000 -12.1203 -10.2
546000 -11.9495 -10.2
547000 -11.9534 -10.2
548000 -11.9483 -10.2
549000 -11.9 -10.2
550000 -12.0241 -10.2
551000 -12.0224 -10.2
552000 -12.043 -10.2
553000 -11.9617 -10.2
554000 -11.9294 -10.2
555000 -12.0865 -10.2
556000 -12.0009 -10.2
557000 -12.0393 -10.2
558000 -12.0607 -10.2
559000 -12.0257 -10.2
560000 -11.96 -10.2
