# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
91000 -12.0536 -14.4
92000 -12.0776 -14.4
93000 -12.3999 -14.4
94000 -12.4699 -14.4
95000 -12.2334 -14.4
96000 -11.8505 -14.4
97000 -11.9788 -14.4
98000 -12.1838 -14.4
99000 -12.248 -14.4
100000 -12.1397 -14.4
101000 -12.1606 -14.4
102000 -12.2432 -14.4
103000 -12.2339 -14.4
104000 -12.0978 -14.4
105000 -11.8866 -14.4
106000 -12.0844 -14.4
107000 -12.2784 -14.4
108000 -12.3487 -14.4
109000 -12.1953 -14.4
110000 -12.2061 -14.4
111000 -12.2609 -14.4
112000 -12.2992 -14.4
113000 -12.2095 -14.4
114000 -12.0947 -14.4
115000 -12.1997 -14.4
116000 -12.3262 -14.4
117000 -12.3754 -14.4
118000 -12.2529 -14.4
119000 -12.1265 -14.4
120000 -12.2053 -14.4
121000 -12.2593 -14.4
122000 -12.273 -14.4
123000 -12.3066 -14.4
124000 -12.2332 -14.4
125000 -12.1722 -14.4
126000 -12.2516 -14.4
127000 -12.13 -14.4
128000 -12.2475 -14.4
129000 -12.1955 -14.4
130000 -12.3058 -14.4
131000 -12.3734 -14.4
132000 -12.1741 -14.4
133000 -12.1649 -14.4
134000 -12.2275 -14.4
135000 -12.1255 -14.4
136000 -12.0925 -14.4
137000 -12.1456 -14.4
138000 -12.2136 -14.4
139000 -12.3087 -14.4
140000 -12.3789 -14.4
