# Time-averaged data for fix myat1
# TimeStep v_nH
1000 35
2000 35
3000 35
4000 35
5000 35
6000 35
7000 35
8000 35
9000 35
10000 35
11000 35
12000 35
13000 35
14000 35
15000 35
16000 35
17000 35
18000 35
19000 35
20000 35
21000 35
22000 35
23000 35
24000 35
25000 35
26000 35
27000 35
28000 35
29000 35
30000 35
31000 35
32000 35
33000 35
34000 35
35000 35
36000 35
37000 35
38000 35
39000 35
40000 35
41000 35
42000 35
43000 35
44000 35
45000 35
46000 35
47000 35
48000 35
49000 35
50000 35
51000 35
52000 35
53000 35
54000 35
55000 35
56000 35
57000 35
58000 35
59000 35
60000 35
61000 35
62000 35
63000 35
64000 35
65000 35
66000 35
67000 35
68000 35
69000 35
70000 35
71000 35
72000 35
73000 35
74000 35
75000 35
76000 35
77000 35
78000 35
79000 35
80000 35
81000 35
82000 35
83000 35
84000 35
85000 35
86000 35
87000 35
88000 35
89000 35
90000 35
91000 35
92000 35
93000 35
94000 35
95000 35
96000 35
97000 35
98000 35
99000 35
100000 35
101000 176.8
102000 308.1
103000 394.3
104000 434
105000 464.5
106000 484.9
107000 526.2
108000 536.1
109000 544.4
110000 569.7
111000 579.4
112000 584.7
113000 603.1
114000 624.3
115000 631
116000 641.9
117000 643.6
118000 650.8
119000 653.7
120000 664.6
121000 666.3
122000 655.3
123000 650.8
124000 653.3
125000 666.6
126000 668.6
127000 674.9
128000 680.1
129000 674.4
130000 679.5
131000 673.9
132000 685.6
133000 677.6
134000 672.4
135000 672.3
136000 685.3
137000 683.5
138000 677.5
139000 669.5
140000 669.1
141000 676.3
142000 686.3
143000 691.1
144000 690.9
145000 679.3
146000 676.9
147000 677.7
148000 670.7
149000 671.3
150000 678
