# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
3211000 0.697556 0.9
3212000 1.88836 0.9
3213000 2.83702 0.9
3214000 3.29931 0.9
3215000 3.15751 0.9
3216000 2.45754 0.9
3217000 1.38879 0.9
3218000 0.212245 0.9
3219000 -0.789522 0.9
3220000 -1.37069 0.9
3221000 -1.38126 0.9
3222000 -0.810234 0.9
3223000 0.200234 0.9
3224000 1.39109 0.9
3225000 2.45831 0.9
3226000 3.13046 0.9
3227000 3.2388 0.9
3228000 2.75952 0.9
3229000 1.82193 0.9
3230000 0.679682 0.9
3231000 -0.380742 0.9
3232000 -1.11173 0.9
3233000 -1.33727 0.9
3234000 -0.994738 0.9
3235000 -0.163253 0.9
3236000 0.948429 0.9
3237000 2.05728 0.9
3238000 2.88177 0.9
3239000 3.21074 0.9
3240000 2.95799 0.9
3241000 2.18617 0.9
3242000 1.09383 0.9
3243000 -0.0342066 0.9
3244000 -0.910162 0.9
3245000 -1.31819 0.9
3246000 -1.16206 0.9
3247000 -0.481382 0.9
3248000 0.563122 0.9
3249000 1.72026 0.9
3250000 2.69195 0.9
3251000 3.21774 0.9
3252000 3.15959 0.9
3253000 2.53561 0.9
3254000 1.50974 0.9
3255000 0.342503 0.9
3256000 -0.673611 0.9
3257000 -1.28767 0.9
3258000 -1.34796 0.9
3259000 -0.837646 0.9
3260000 0.115576 0.9
