# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
4651000 9.79438 8.1
4652000 9.07746 8.1
4653000 8.29937 8.1
4654000 7.56952 8.1
4655000 7.02999 8.1
4656000 6.79872 8.1
4657000 6.9307 8.1
4658000 7.39887 8.1
4659000 8.0987 8.1
4660000 8.88045 8.1
4661000 9.60629 8.1
4662000 10.2153 8.1
4663000 10.7692 8.1
4664000 11.4556 8.1
4665000 11.6728 8.1
4666000 11.1517 8.1
4667000 10.8416 8.1
4668000 10.7009 8.1
4669000 10.6438 8.1
4670000 10.6605 8.1
4671000 10.7784 8.1
4672000 11.0509 8.1
4673000 11.5322 8.1
4674000 11.7511 8.1
4675000 11.2256 8.1
4676000 10.8033 8.1
4677000 10.5756 8.1
4678000 10.499 8.1
4679000 10.4916 8.1
4680000 10.4937 8.1
4681000 10.5005 8.1
4682000 10.5254 8.1
4683000 10.5787 8.1
4684000 10.694 8.1
4685000 10.9247 8.1
4686000 11.3491 8.1
4687000 11.8055 8.1
4688000 11.544 8.1
4689000 11.0816 8.1
4690000 10.8515 8.1
4691000 10.8129 8.1
4692000 10.956 8.1
4693000 11.3527 8.1
4694000 11.8391 8.1
4695000 11.2402 8.1
4696000 10.3759 8.1
4697000 9.52336 8.1
4698000 8.59406 8.1
4699000 7.6814 8.1
4700000 6.94947 8.1
