# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
1531000 -5.98401 -7.5
1532000 -7.29732 -7.5
1533000 -8.7166 -7.5
1534000 -9.97689 -7.5
1535000 -11.0357 -7.5
1536000 -11.9311 -7.5
1537000 -11.2388 -7.5
1538000 -9.98929 -7.5
1539000 -8.57278 -7.5
1540000 -7.04026 -7.5
1541000 -5.67193 -7.5
1542000 -4.77302 -7.5
1543000 -4.56195 -7.5
1544000 -5.10592 -7.5
1545000 -6.27393 -7.5
1546000 -7.77534 -7.5
1547000 -9.26578 -7.5
1548000 -10.514 -7.5
1549000 -11.5973 -7.5
1550000 -11.6684 -7.5
1551000 -10.5787 -7.5
1552000 -9.37961 -7.5
1553000 -7.95866 -7.5
1554000 -6.49727 -7.5
1555000 -5.31407 -7.5
1556000 -4.69572 -7.5
1557000 -4.79691 -7.5
1558000 -5.59606 -7.5
1559000 -6.8995 -7.5
1560000 -8.39943 -7.5
1561000 -9.79394 -7.5
1562000 -10.9732 -7.5
1563000 -11.8354 -7.5
1564000 -11.0658 -7.5
1565000 -9.95958 -7.5
1566000 -8.65894 -7.5
1567000 -7.21792 -7.5
1568000 -5.91006 -7.5
1569000 -5.03345 -7.5
1570000 -4.79502 -7.5
1571000 -5.25701 -7.5
1572000 -6.32231 -7.5
1573000 -7.7364 -7.5
1574000 -9.1689 -7.5
1575000 -10.3923 -7.5
1576000 -11.4887 -7.5
1577000 -11.8951 -7.5
1578000 -11.1697 -7.5
1579000 -10.443 -7.5
1580000 -9.58366 -7.5
