# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2911000 -3.46004 -0.6
2912000 -3.69045 -0.6
2913000 -3.13509 -0.6
2914000 -1.91666 -0.6
2915000 -0.347294 -0.6
2916000 1.15488 -0.6
2917000 2.19723 -0.6
2918000 2.52015 -0.6
2919000 2.05357 -0.6
2920000 0.920415 -0.6
2921000 -0.593292 -0.6
2922000 -2.10742 -0.6
2923000 -3.24227 -0.6
2924000 -3.71175 -0.6
2925000 -3.39473 -0.6
2926000 -2.35782 -0.6
2927000 -0.853349 -0.6
2928000 0.727423 -0.6
2929000 1.96428 -0.6
2930000 2.53531 -0.6
2931000 2.30775 -0.6
2932000 1.34902 -0.6
2933000 -0.0976596 -0.6
2934000 -1.66889 -0.6
2935000 -2.97115 -0.6
2936000 -3.67855 -0.6
2937000 -3.61111 -0.6
2938000 -2.77496 -0.6
2939000 -1.37132 -0.6
2940000 0.239634 -0.6
2941000 1.63316 -0.6
2942000 2.43842 -0.6
2943000 2.46098 -0.6
2944000 1.71084 -0.6
2945000 0.376584 -0.6
2946000 -1.2095 -0.6
2947000 -2.6516 -0.6
2948000 -3.58901 -0.6
2949000 -3.78006 -0.6
2950000 -3.16583 -0.6
2951000 -1.89492 -0.6
2952000 -0.296251 -0.6
2953000 1.20082 -0.6
2954000 2.20313 -0.6
2955000 2.48098 -0.6
2956000 1.97797 -0.6
2957000 0.818514 -0.6
2958000 -0.713992 -0.6
2959000 -2.24136 -0.6
2960000 -3.37451 -0.6
