# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
3691000 0.660858 3.3
3692000 0.713175 3.3
3693000 1.43042 3.3
3694000 2.64021 3.3
3695000 4.0334 3.3
3696000 5.24965 3.3
3697000 5.98043 3.3
3698000 6.04643 3.3
3699000 5.43972 3.3
3700000 4.32329 3.3
3701000 2.98401 3.3
3702000 1.74858 3.3
3703000 0.909163 3.3
3704000 0.66915 3.3
3705000 1.09933 3.3
3706000 2.09622 3.3
3707000 3.40668 3.3
3708000 4.69894 3.3
3709000 5.64668 3.3
3710000 6.01392 3.3
3711000 5.7111 3.3
3712000 4.81455 3.3
3713000 3.54712 3.3
3714000 2.22619 3.3
3715000 1.18392 3.3
3716000 0.681394 3.3
3717000 0.844617 3.3
3718000 1.63766 3.3
3719000 2.87053 3.3
3720000 4.23466 3.3
3721000 5.37888 3.3
3722000 6.00838 3.3
3723000 5.96682 3.3
3724000 5.27618 3.3
3725000 4.10897 3.3
3726000 2.74682 3.3
3727000 1.52449 3.3
3728000 0.747098 3.3
3729000 0.613702 3.3
3730000 1.1662 3.3
3731000 2.27332 3.3
3732000 3.65841 3.3
3733000 4.97064 3.3
3734000 5.8753 3.3
3735000 6.14165 3.3
3736000 5.70931 3.3
3737000 4.69499 3.3
3738000 3.35214 3.3
3739000 2.01112 3.3
3740000 1.00137 3.3
