# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
2491000 -6.51994 -2.7
2492000 -6.14336 -2.7
2493000 -4.91598 -2.7
2494000 -3.15669 -2.7
2495000 -1.31973 -2.7
2496000 0.13462 -2.7
2497000 0.854228 -2.7
2498000 0.669452 -2.7
2499000 -0.372499 -2.7
2500000 -2.01724 -2.7
2501000 -3.86228 -2.7
2502000 -5.45281 -2.7
2503000 -6.38202 -2.7
2504000 -6.4044 -2.7
2505000 -5.51167 -2.7
2506000 -3.95394 -2.7
2507000 -2.14003 -2.7
2508000 -0.498744 -2.7
2509000 0.572708 -2.7
2510000 0.812224 -2.7
2511000 0.157532 -2.7
2512000 -1.23768 -2.7
2513000 -3.02959 -2.7
2514000 -4.7622 -2.7
2515000 -5.98699 -2.7
2516000 -6.39352 -2.7
2517000 -5.88692 -2.7
2518000 -4.61217 -2.7
2519000 -2.89485 -2.7
2520000 -1.14847 -2.7
2521000 0.204793 -2.7
2522000 0.829424 -2.7
2523000 0.561106 -2.7
2524000 -0.54448 -2.7
2525000 -2.20804 -2.7
2526000 -4.00148 -2.7
2527000 -5.46666 -2.7
2528000 -6.23729 -2.7
2529000 -6.12703 -2.7
2530000 -5.16852 -2.7
2531000 -3.60883 -2.7
2532000 -1.85647 -2.7
2533000 -0.353018 -2.7
2534000 0.54243 -2.7
2535000 0.615581 -2.7
2536000 -0.162066 -2.7
2537000 -1.6057 -2.7
2538000 -3.34465 -2.7
2539000 -4.93252 -2.7
2540000 -5.96585 -2.7
